id,type,text1,text2,text3,text4,text5,notes
sr_sol,CUSTOM,"Sol is a G-type main-sequence star and the gravitational anchor of our Solar System. This massive fusion reactor converts 600 million tons of hydrogen into helium every second, radiating energy that sustains all planetary climates and weather systems. Solar flares and coronal mass ejections regularly blast charged particles across the system, creating auroras on planets with magnetic fields and posing hazards to spacecraft and communications. The Sun's solar wind extends far beyond Pluto's orbit, creating a protective heliosphere that shields the entire system from most interstellar radiation. Currently middle-aged at 4.6 billion years, the Sun will continue burning hydrogen for another 5 billion years before beginning its transformation into a red giant.",,"Deep within the Sun's core, temperatures reach 15 million degrees Celsius and pressures exceed 250 billion atmospheres. Here, the fundamental forces of the universe forge helium from hydrogen through nuclear fusion, releasing the energy that will take 100,000 years to reach the surface and then just 8 minutes to travel to Earth. When the Sun eventually exhausts its hydrogen fuel, it will expand into a red giant star, engulfing Mercury and Venus and boiling away Earth's oceans before finally shedding its outer layers to become a white dwarf.",,,
sr_mercury,CUSTOM,"Mercury is the smallest planet and closest to the Sun, a world of extreme contrasts and ancient scars. With no substantial atmosphere to retain heat, surface temperatures swing from 430°C in direct sunlight to -170°C in shadow - the most extreme temperature variation of any planet. This cratered world completes an orbit in just 88 Earth days but rotates so slowly that a single day lasts 176 Earth days. Mercury's disproportionately large iron core makes up 75% of its radius, suggesting it may be the remnant of a much larger world that suffered a catastrophic collision early in Solar System history. Despite its proximity to the Sun, radar observations have detected water ice in permanently shadowed polar craters.",,"Mercury's surface tells the violent story of the early Solar System, when massive asteroids and comets regularly bombarded the inner worlds. The Caloris Basin, over 1,500 kilometers across, was carved by an impact so powerful it created hills and ridges on the opposite side of the planet. Ancient lava flows have filled many impact craters, while cliff-like scarps hundreds of kilometers long suggest the planet shrank as its large iron core cooled. In the eternal darkness of its polar craters, spacecraft have found patches of water ice - a precious resource for any future missions to this scorched world.",,,
sr_venus,CUSTOM,"Venus is Earth's evil twin - nearly identical in size and mass but transformed into a hellish greenhouse world. Its dense carbon dioxide atmosphere creates surface pressures 92 times greater than Earth's, while sulfuric acid clouds completely shroud the planet in a permanent haze. The runaway greenhouse effect maintains surface temperatures of 462°C - hot enough to melt lead and hotter than Mercury despite being twice as far from the Sun. Venus rotates backwards compared to most planets, and so slowly that its day (243 Earth days) is longer than its year (225 Earth days). Soviet Venera landers that reached the surface in the 1970s and 80s were crushed and corroded within hours, but not before sending back images of a rocky, volcanic landscape.",,"Beneath its crushing atmosphere, Venus reveals a world of massive volcanoes and twisted terrain. Radar mapping has identified over 1,000 impact craters, vast volcanic plains, and mountain ranges pushed up by intense geological forces. Maxwell Montes rises 10.8 kilometers above the mean surface - higher than Earth's Mount Everest. Some scientists theorize that Venus may still be volcanically active, with recent evidence suggesting possible ongoing eruptions. The planet's lack of water and plate tectonics means its surface features are preserved for hundreds of millions of years, creating a museum of planetary geology frozen in time beneath that deadly sky.",,,
sr_earth,CUSTOM,"Earth is the blue marble, the only known world harboring life in a universe that may be teeming with it. Seventy percent of its surface lies beneath dynamic oceans that drive weather patterns and regulate global climate through massive circulation systems. A molten iron core generates Earth's protective magnetic field, deflecting most solar radiation and cosmic rays that would otherwise strip away the atmosphere. Plate tectonics continuously reshape the surface, recycling carbon and nutrients while building mountain ranges and ocean basins. Earth's large moon stabilizes its 23.5-degree axial tilt, preventing chaotic climate swings and enabling the stable seasons that allowed complex life to evolve. From this pale blue dot, humanity first gazed at the stars and began the journey that would carry life itself into the cosmos.",,"Earth's story is one of constant change and remarkable resilience. Over 4.5 billion years, this world has survived massive asteroid impacts, ice ages, volcanic catastrophes, and mass extinctions, each time recovering and diversifying into new forms of life. The atmosphere has been transformed multiple times - first by volcanic outgassing, then by oxygen-producing cyanobacteria, and now by human industrial activity. Beneath the oceans, mid-ocean ridges create new seafloor while subduction zones recycle old crust, driving the continental drift that has assembled and scattered supercontinents throughout geological time. Today, Earth hosts an estimated 8.7 million species, from microscopic bacteria thriving in deep-sea hydrothermal vents to blue whales cruising through polar waters.",,,
sr_mars,CUSTOM,"Mars is the Red Planet, a cold desert world that may once have been warm and wet enough to support life. Iron oxide dust gives it the characteristic rusty color visible from Earth, while massive geological features dwarf anything on our home world. Olympus Mons stands 21 kilometers tall - nearly three times the height of Mount Everest - while the Valles Marineris canyon system stretches 4,000 kilometers across the planet's equator. Ancient riverbeds, lake beds, and mineral deposits suggest Mars once had a thick atmosphere and flowing water, but today only thin carbon dioxide surrounds this frozen world. Polar ice caps contain both water and frozen carbon dioxide, expanding and contracting with the seasons. Recent discoveries of liquid water beneath the surface and seasonal methane emissions hint that Mars may still harbor microbial life.",,"Mars holds the keys to understanding planetary evolution and the potential for life beyond Earth. Robotic explorers have revealed a world shaped by volcanism, impacts, and flowing water over billions of years. The northern lowlands may once have held an ocean covering a third of the planet, while the southern highlands preserve impact craters from the Solar System's violent youth. Dust storms can engulf the entire planet for months, while the thin atmosphere allows meteorites to reach the surface relatively intact - some carrying samples from Mars that were blasted into space and eventually fell to Earth. Future human missions will seek signs of past or present life in subsurface aquifers, polar ice deposits, and the mineral-rich deposits left by ancient hot springs.",,,
sr_jupiter,CUSTOM,"Jupiter is the king of planets, a gas giant so massive it contains more matter than all other planets combined. This world of perpetual storms radiates more heat than it receives from the Sun, powered by gradual gravitational compression that may have once nearly ignited it as a second star. The Great Red Spot - a hurricane larger than Earth that has raged for at least 400 years - is just the most famous of countless atmospheric phenomena swirling through bands of hydrogen and helium at speeds exceeding 500 kilometers per hour. Jupiter's immense magnetosphere traps charged particles in radiation belts deadly to spacecraft, while gravitational resonances with its moons create gaps in Saturn's rings and deflect asteroids throughout the Solar System. With at least 95 confirmed moons, Jupiter rules a miniature solar system featuring volcanic Io, ice-covered Europa, massive Ganymede, and ancient Callisto.",,"Jupiter's role as the Solar System's guardian cannot be overstated - its powerful gravity has swept up countless asteroids and comets that might otherwise have threatened the inner planets. The planet's composition closely matches that of the Sun, and some theories suggest it formed by directly capturing gas from the solar nebula rather than growing from a solid core. Deep beneath its colorful cloud layers, pressure and temperature increase until hydrogen becomes metallic, conducting electricity and generating the planet's powerful magnetic field. The Galilean moons offer diverse worlds for exploration: Io's sulfur volcanoes powered by tidal heating, Europa's subsurface ocean that may harbor life, Ganymede with its own magnetic field, and heavily cratered Callisto that preserves a record of the early Solar System.",,,
sr_saturn,CUSTOM,"Saturn is the ringed jewel of the Solar System, a gas giant adorned with the most spectacular ring system known to science. Composed of countless particles of ice and rock ranging from dust grains to house-sized boulders, the rings span nearly 300,000 kilometers but are typically less than one kilometer thick. Saturn itself is less dense than water and spins so rapidly that it bulges noticeably at the equator. Winds in its atmosphere reach 1,800 kilometers per hour, while hexagonal cloud patterns at the north pole create geometric shapes unique in the Solar System. The planet's 146 confirmed moons include Titan - larger than Mercury and cloaked in a thick nitrogen atmosphere - and Enceladus, which sprays geysers of water ice from its south pole. Saturn's gravitational influence and ring particles create a complex dance of orbital resonances that sculpt gaps, spokes, and braided structures throughout its ring system.",,"Saturn's rings are a cosmic laboratory for understanding planetary formation, gravity, and orbital mechanics. The main rings are named alphabetically in order of discovery (A, B, C, D, E, F, G) and contain features like the Cassini Division - a gap carved by gravitational resonances with the moon Mimas. Ring particles constantly collide, break apart, and stick together, while tiny shepherd moons maintain sharp edges through gravitational herding. Titan, Saturn's largest moon, possesses lakes and rivers of liquid methane in a landscape eerily reminiscent of early Earth, complete with weather patterns and seasonal changes. Enceladus may harbor a global ocean beneath its icy crust, making it one of the most promising places to search for extraterrestrial life in our Solar System.",,,
sr_uranus,CUSTOM,"Uranus is the tilted ice giant, rolling through its orbit on its side with an axial tilt of 98 degrees that creates the most extreme seasons in the Solar System. Each pole experiences 42 years of continuous sunlight followed by 42 years of darkness as the planet completes its 84-year orbit around the Sun. Composed primarily of water, methane, and ammonia ices surrounding a rocky core, Uranus appears as a featureless blue-green disk due to methane in its atmosphere absorbing red light. The planet has 27 known moons and a faint ring system discovered in 1977. Its unusual tilt may result from a collision with an Earth-sized object early in Solar System history, and its weak magnetic field is tilted 59 degrees from its rotational axis, suggesting a complex interior structure. Voyager 2 remains the only spacecraft to visit this distant world, flying by in 1986 and revealing a planet far stranger than anyone had imagined.",,"Uranus challenges our understanding of planetary formation and evolution with its bizarre characteristics and mysterious interior. Unlike Jupiter and Saturn, which radiate more heat than they receive, Uranus emits almost no excess heat, suggesting either a different formation process or some catastrophic event that disrupted its internal heat source. The planet's moons include Miranda - a small world with some of the most varied and extreme terrain in the Solar System, suggesting it was shattered and reformed multiple times. Uranus's rings are dark and narrow, composed of organic compounds darkened by radiation, and several were discovered to have shepherd moons maintaining their structure. The planet's strange magnetic field may indicate an unusual interior with a liquid mantle of water, methane, and ammonia surrounding a small rocky core.",,,
sr_neptune,CUSTOM,"Neptune is the windiest world in the Solar System, where methane clouds race through the atmosphere at speeds exceeding 2,000 kilometers per hour - faster than the speed of sound on Earth. This deep blue ice giant radiates 2.6 times more energy than it receives from the Sun, driving dynamic weather patterns at the edge of the Solar System where sunlight is 1,000 times weaker than at Earth. The Great Dark Spot observed by Voyager 2 was a storm system larger than Jupiter's Great Red Spot, though it had vanished when the Hubble Space Telescope observed Neptune years later. With 16 known moons, Neptune's system is dominated by Triton - a captured Kuiper Belt object that orbits backwards and may have disrupted any original moon system. Neptune's gravity shapes the outer Solar System, controlling the orbits of Kuiper Belt objects and Pluto through complex gravitational resonances.",,"Neptune represents the frontier of our Solar System's major planets, a world where extreme conditions create phenomena impossible on the inner worlds. Triton, Neptune's largest moon, is one of the coldest objects in the Solar System yet shows signs of geological activity, with nitrogen geysers erupting from its south pole. This retrograde moon is slowly spiraling inward and will eventually be torn apart by Neptune's gravity, creating a ring system that may rival Saturn's. The planet's deep blue color comes from methane in its atmosphere, while its core may reach temperatures of 5,000°C - as hot as the Sun's surface. Neptune's discovery in 1846 represented a triumph of mathematical astronomy, found exactly where calculations predicted it should be based on perturbations in Uranus's orbit.",,,
sr_pluto,CUSTOM,"Pluto is a complex dwarf planet at the frontier of the Kuiper Belt, a world that defied expectations when New Horizons flew by in 2015. Far from being a simple frozen iceball, Pluto displays active geology with nitrogen glaciers flowing across vast plains, water-ice mountains rising 3.5 kilometers high, and a thin atmosphere of nitrogen that expands and contracts as the planet's elliptical orbit carries it closer to and farther from the Sun. Pluto and its largest moon Charon form a binary system, tidally locked so they always show the same faces to each other. The reclassification from planet to dwarf planet in 2006 sparked controversy, but Pluto's scientific importance has only grown with each new discovery about this distant world and its place in the outer Solar System's complex architecture.",,"Pluto's surface reveals a world of surprising complexity and beauty, with vast plains of frozen nitrogen punctuated by dark, organic compounds that give regions like Cthulhu Macula their distinctive coloration. The heart-shaped feature informally named Tombaugh Regio contains Sputnik Planitia, a glacier of nitrogen ice that appears to be actively flowing and recycling its surface. Pluto's thin atmosphere may contain organic haze similar to that on Saturn's moon Titan, created when solar ultraviolet light breaks down methane molecules. The dwarf planet's five known moons, including large Charon and tiny, rapidly spinning Nix and Hydra, may have formed from debris left over from a giant impact early in Pluto's history. As humanity's most distant planetary encounter, Pluto continues to surprise scientists and expand our understanding of the outer Solar System's diversity.",,,
