id,trigger,conditions,script,text,options,notes
# Glasya-Labolas on Eochu Bres: the Transferring Sol conversation. Quest state and effects live in SrQuestCMD.,,,,,,
srGL_greetTalk,PickGreeting,"$sr_glasya_labolas score:1000
SrQuestCMD stage TALK","ShowPersonVisual
FireAll PopulateOptions","The link resolves into a lattice of red light that folds over itself while it studies you.

""Welcome, $playerName. I assume you were sent by the researcher I contacted about a new experimental technology I've been developing?""",,
srGL_greetNone,PickGreeting,"$sr_glasya_labolas score:1000
SrQuestCMD stage NONE","ShowPersonVisual
FireAll PopulateOptions","The link resolves into a lattice of red light that folds over itself while it studies you.

""Welcome, $playerName. I assume you were sent by the researcher I contacted about a new experimental technology I've been developing?""",,
srGL_greetDeclined,PickGreeting,"$sr_glasya_labolas score:1000
SrQuestCMD stage DECLINED","ShowPersonVisual
FireAll PopulateOptions","""Changed your mind, $playerName? The offer stands. Sol does not care who moves it.""",,
srGL_greetShroud,PickGreeting,"$sr_glasya_labolas score:1000
SrQuestCMD stage SHROUD","ShowPersonVisual
FireAll PopulateOptions","""Back already? My instruments say the Abyss has not given you what we need yet. Find one of the shrouded things out there and put it down. The sniffer will do the rest.""",,
srGL_greetReturn,PickGreeting,"$sr_glasya_labolas score:1000
SrQuestCMD stage RETURN","ShowPersonVisual
FireAll PopulateOptions","""There you are. The sniffer we installed on your ships lit up like a nova the moment you engaged it. With the data obtained through quantum entanglement communication directly during the encounter, we've been able to create this.""",srGL_take:Continue,
srGL_greetTravel,PickGreeting,"$sr_glasya_labolas score:1000
SrQuestCMD stage TRAVEL","ShowPersonVisual
FireAll PopulateOptions","""You still have the translocator, $playerName. The coordinates are in your logs. Be directly on top of them when you activate it, or don't come back to tell me what happened.""",,
srGL_greetDone,PickGreeting,"$sr_glasya_labolas score:1000
SrQuestCMD stage DONE","ShowPersonVisual
FireAll PopulateOptions","""Sol is where it belongs now. Do enjoy it, $playerName. I certainly intend to.""",,
# Main options.,,,,,,
srGL_optYes,PopulateOptions,"$sr_glasya_labolas score:1000
SrQuestCMD stage TALK",,,"0:srGL_yes:""Yes, that's right.""",
srGL_optWhat,PopulateOptions,"$sr_glasya_labolas score:1000
SrQuestCMD stage NONE",,,"0:srGL_what:""W-What?""",
srGL_optRestart,PopulateOptions,"$sr_glasya_labolas score:1000
SrQuestCMD stage DECLINED",,,"0:srGL_restart:""Actually, about that technology...""",
srGL_optNo,PopulateOptions,"$sr_glasya_labolas score:1000
SrQuestCMD offering",,,"1:srGL_no:""No. I don't really care.""",
srGL_optSkip,PopulateOptions,"$sr_glasya_labolas score:1000
SrQuestCMD offering",SetOptionColor srGL_skip gray,,2:srGL_skip:Skip the quest and place Sol in the Sector now,
# Step 6.,,,,,,
